"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","WEIGHTED_INDEX","ENROLLMENT","ABSENT_COUNT","GRAD_COUNT","COHORT_COUNT","ELA_P_RATE","MATH_P_RATE","PUPIL_COUNT_TOT","FED_STATE_LOCAL_EXP","NUM_TEACH","NUM_TEACH_INEXP","NUM_TEACH_OC","NUM_OUT_CERT","OVERALL_STATUS"
"800000055743","010100010034","ALBANY HIGH SCHOOL","82.2","3046","1550","549","704","98.9","84.3","2764","94032063",235,63,"214","14","Local Support and Improvement"
"800000055479","010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS","142.3","222","42","47","53","100","86.7","326","11481752",41,11,"41","1","Local Support and Improvement"
"800000055439","010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","198.1","1374","155","333","349","99.4","92.1","1373","32156676",110,9,"107","1","Local Support and Improvement"
"800000055436","010402060001","RAVENA-COEYMANS-SELKIRK SR HS","129.2","530","164","118","133","100","87.9","518","13997053",59,24,"55","3","Local Support and Improvement"
"800000055426","010500010007","COHOES HIGH SCHOOL","94","619","326","109","132","100","81","593","14868772",52,8,"51","0","Local Support and Improvement"
"800000055406","010601060008","COLONIE CENTRAL HIGH SCHOOL","138.3","1610","365","359","402","99.5","75.1","1558","37536476",123,9,"129","6","Local Support and Improvement"
"800000055375","010623060010","SHAKER HIGH SCHOOL","169.9","2128","505","491","519","99.6","91","2074","45504668",177,13,"176","9","Local Support and Improvement"
"800000055328","010802060005","GUILDERLAND HIGH SCHOOL","175.2","1502","221","348","363","99.7","90.1","1484","36476631",135,11,"157","12","Local Support and Improvement"
"800000055280","011003060002","CLAYTON A BOUTON HIGH SCHOOL","176.9","338","62","95","96","100","94.3","338","9590657",39,3,"44","1","Local Support and Improvement"
"800000055262","011200010010","WATERVLIET JUNIOR-SENIOR HS","48.5","429","193","74","91","80.5","66.2","730","17316184",63,21,"69","7","Targeted Support and Improvement"
"800000054475","051301040003","MORAVIA JUNIOR-SENIOR HS","143.2","268","74","61","68","100","100","457","14126342",44,9,"41","4","Local Support and Improvement"
"800000054485","051901040005","UNION SPRINGS HIGH SCHOOL","169.4","222","57","59","63","100","92.3","217","6566265",31,5,"29","0","Local Support and Improvement"
"800000054461","060201060003","SOUTHWESTERN SENIOR HIGH SCHOOL","149.5","410","85","95","98","100","86.1","403","11284253",50,5,"47","1","Local Support and Improvement"
"800000055143","022601060004","WELLSVILLE SECONDARY SCHOOL","137.5","378","106","88","97","98.8","87.2","653","18350662",62,6,"60","5","Local Support and Improvement"
"800000055109","022902040001","BOLIVAR-RICHBURG JUNIOR-SENIOR HS","114.7","218","69","46","50","100","84.9","350","12367489",41,8,"40","4","Local Support and Improvement"
"800000055106","030101060003","CHENANGO FORKS HIGH SCHOOL","170.6","437","65","104","114","100","97.9","432","10365723",41,2,"39","0","Local Support and Improvement"
"800000055085","030200010021","BINGHAMTON HIGH SCHOOL","77.4","1366","605","274","355","98.6","70.6","1290","35024179",131,33,"123","21","Targeted Support and Improvement"
"800000054981","030601060006","SUSQUEHANNA VALLEY SENIOR HIGH SCH","146.1","429","246","76","84","100","83.3","420","11980928",45,5,"42","2","Local Support and Improvement"
"800000054968","030701060001","CHENANGO VALLEY HIGH SCHOOL ","142.8","499","135","118","122","100","91.2","489","12053365",43,10,"42","2","Local Support and Improvement"
"800000054944","031101060006","MAINE-ENDWELL SENIOR HS","177.1","748","159","163","180","99.4","92.5","739","15931390",56,12,"55","6","Local Support and Improvement"
"800000054928","031401060004","WHITNEY POINT SENIOR HIGH SCHOOL","119.4","389","140","76","97","99","93.8","379","10748844",39,12,"37","3","Local Support and Improvement"
"800000054938","031501060012","UNION-ENDICOTT HIGH SCHOOL","128.8","1080","314","230","281","95.4","88.1","1019","27853131",98,16,"96","9","Local Support and Improvement"
"800000054898","031502060006","JOHNSON CITY SENIOR HIGH SCHOOL","112.4","738","263","160","186","100","72.6","711","20087173",59,8,"59","5","Local Support and Improvement"
"800000054868","031601060051","VESTAL SENIOR HIGH SCHOOL","205.9","1041","199","237","250","100","97.9","1012","22706599",92,14,"92","5","Local Support and Improvement"
"800000054837","031701060007","WINDSOR CENTRAL HIGH SCHOOL","144.8","485","111","112","122","99.2","95.1","475","14603329",46,17,"43","1","Local Support and Improvement"
"800000054809","040302060001","ALLEGANY-LIMESTONE MIDDLE-HIGH","161.9","337","97","99","105","98.8","94.1","553","16090112",61,14,"57","4","Local Support and Improvement"
"800000054758","042302040003","CATTARAUGUS-LITTLE VALLEY HS","127.2","263","72","54","54","100","90.6","253","7957690",36,6,"35","0","Local Support and Improvement"
"800000054739","042400010013","OLEAN SENIOR HIGH SCHOOL","130.2","536","169","110","142","98.3","93","658","16863089",66,15,"55","7","Local Support and Improvement"
"800000054710","042801060006","GOWANDA HIGH SCHOOL","145.7","286","97","75","83","100","81.8","273","11267715",41,3,"41","2","Local Support and Improvement"
"800000054691","042901040002","PORTVILLE JUNIOR-SENIOR HIGH SCHOOL","170.3","327","57","72","75","100","98.8","468","10908062",40,3,"38","7","Local Support and Improvement"
"800000054669","043001040002","RANDOLPH SENIOR HIGH SCHOOL","134.3","283","62","67","73","63.5","100","385","10661609",41,5,"41","2","Local Support and Improvement"
"800000054623","043200050002","SALAMANCA HIGH SCHOOL","106.6","422","174","75","84","98","96","508","21172408",57,6,"53","7","Local Support and Improvement"
"800000054619","043501060006","PIONEER SENIOR HIGH SCHOOL","133.4","689","266","138","166","100","84.3","684","17452387",76,8,"73","2","Local Support and Improvement"
"800000054575","050100010013","AUBURN HIGH SCHOOL","124.5","1204","434","219","302","99.3","86.1","1165","27444514",89,12,"89","3","Local Support and Improvement"
"800000054530","050401040003","CATO-MERIDIAN JUNIOR-SENIOR HS","146.3","256","63","45","53","100","96.5","374","8926641",36,6,"35","0","Local Support and Improvement"
"800000054528","051101040004","PORT BYRON SENIOR HIGH SCHOOL","118","252","87","49","53","100","91.9","348","10232000",29,3,"29","0","Local Support and Improvement"
"800000054449","060301040004","FREWSBURG JUNIOR-SENIOR HIGH SCH","144.6","232","52","60","69","100","77.8","341","9735684",35,1,"34","0","Local Support and Improvement"
"800000054440","060401040006","CASSADAGA VALLEY MIDDLE/HIGH SCHOOL","119.6","213","36","62","69","100","100","384","12088055",46,7,"45","2","Local Support and Improvement"
"800000054398","060503040001","CHAUTAUQUA LAKE SECONDARY SCHOOL","176.3","248","65","57","59","100","86.8","366","11606599",47,6,"47","1","Local Support and Improvement"
"800000054331","060800010009","DUNKIRK SENIOR HIGH SCHOOL","90.4","624","264","121","153","99.2","79.4","894","23885676",88,23,"88","0","Local Support and Improvement"
"800000054316","061101040007","FALCONER MIDDLE/HIGH SCHOOL","115","354","98","84","90","100","91.9","629","14563923",56,9,"57","3","Local Support and Improvement"
"800000054302","061501040001","SILVER CREEK HIGH SCHOOL","135.5","300","116","69","78","100","89.3","294","7999958",43,5,"43","1","Local Support and Improvement"
"800000054256","061700010013","JAMESTOWN HIGH SCHOOL","102.7","1349","742","204","299","97","73.9","1353","27924990",102,11,"102","10","Local Support and Improvement"
"800000054178","062201060003","FREDONIA HIGH SCHOOL","165","500","164","105","116","100","95.7","489","11941418",54,14,"50","0","Local Support and Improvement"
"800000054119","070600010020","ELMIRA HIGH SCHOOL","76.3","1291","566","355","425","93.5","49.4","1252","29112926",63,9,"62","6","Local Support and Improvement"
"800000054062","070901060007","HORSEHEADS SENIOR HIGH SCHOOL","141.1","1143","123","277","304","99.6","76.1","1122","26320256",91,12,"91","0","Local Support and Improvement"
"800000054046","070902060002","THOMAS A EDISON HIGH SCHOOL","109.3","322","93","61","70","100","60.9","313","7737511",27,5,"27","0","Local Support and Improvement"
"800000054037","080201040001","BAINBRIDGE-GUILFORD HIGH SCHOOL","171.9","247","83","61","66","98.2","96.4","349","9513105",28,1,"28","2","Local Support and Improvement"
"800000054015","080601040003","GREENE HIGH SCHOOL","169.2","273","30","53","57","100","94.6","267","8495321",28,4,"27","4","Local Support and Improvement"
"800000054003","081003040003","UNADILLA VALLEY SECONDARY SCHOOL","145.5","221","93","61","67","100","74.1","343","10962630",34,7,"34","4","Targeted Support and Improvement"
"800000053953","081200050004","NORWICH HIGH SCHOOL","115.6","513","198","120","137","100","95.9","516","13642856",54,12,"46","4","Local Support and Improvement"
"800000053928","082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCH","105.9","390","135","64","73","100","88.2","386","11489721",41,6,"40","3","Local Support and Improvement"
"800000053923","090201040002","AUSABLE VALLEY HIGH SCHOOL","125.5","353","79","81","84","97.7","67.9","349","10888376",40,6,"39","3","Local Support and Improvement"
"800000053903","090301060006","BEEKMANTOWN HIGH SCHOOL","156.8","589","138","108","120","100","93.6","578","10691174",58,4,"54","0","Local Support and Improvement"
"800000053888","090501040002","NORTHEASTERN CLINTON SR HIGH SCHOOL","150.7","387","124","75","88","100","96.1","375","10152631",39,9,"38","5","Local Support and Improvement"
"800000053847","090901040002","NORTHERN ADIRONDACK MID/HIGH","142","240","85","48","56","100","94.8","429","14172303",54,5,"51","14","Local Support and Improvement"
"800000053877","091101060005","PERU HIGH SCHOOL","136.7","557","181","120","141","100","75.7","545","15666700",59,6,"56","1","Local Support and Improvement"
"800000053859","091200010006","PLATTSBURGH SENIOR HIGH SCHOOL","124.4","578","214","115","137","100","90.7","560","14136453",57,11,"53","5","Local Support and Improvement"
"800000053803","091402060005","SARANAC HIGH SCHOOL","170.5","454","99","87","92","100","99","440","11898209",42,7,"42","6","Local Support and Improvement"
"800000053757","100501040003","TACONIC HILLS JUNIOR/SENIOR HIGH ","143.7","343","112","88","103","100","100","493","19100464",56,20,"53","9","Local Support and Improvement"
"800000053739","101001040002","CHATHAM HIGH SCHOOL","151.6","315","97","83","90","100","94.1","309","13242860",37,5,"43","2","Local Support and Improvement"
"800000053705","101300010001","HUDSON HIGH SCHOOL","111.8","476","154","75","97","99","93.9","463","19399865",50,10,"49","6","Local Support and Improvement"
"800000053664","101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL","153.6","574","117","114","117","99.2","98.5","562","16261752",57,8,"68","4","Local Support and Improvement"
"800000053652","110200010011","CORTLAND HIGH SCHOOL","131.3","612","211","115","148","100","88.2","592","14435536",65,11,"58","1","Local Support and Improvement"
"800000053623","110701060001","HOMER SENIOR HIGH SCHOOL","148","567","125","138","145","100","88.2","558","15927448",56,2,"57","2","Local Support and Improvement"
"800000053568","120501040002","DELAWARE ACADEMY HIGH SCHOOL","167.9","229","44","52","55","100","98.2","403","11976103",47,4,"46","2","Local Support and Improvement"
"800000053518","121601060006","SIDNEY HIGH SCHOOL","156.6","348","99","67","71","100","98.7","333","9705210",37,3,"35","1","Local Support and Improvement"
"800000053501","121901040002","WALTON HIGH SCHOOL","98.1","270","95","66","70","100","50.9","268","8345196",28,7,"25","1","Local Support and Improvement"
"800000053468","130200010005","BEACON HIGH SCHOOL","136.6","848","271","190","211","100","92.9","830","24402770",82,12,"80","1","Local Support and Improvement"
"800000053463","130502020003","DOVER HIGH SCHOOL","111.3","471","142","110","113","100","91.2","465","14135814",47,3,"45","3","Local Support and Improvement"
"800000053428","130801060007","FRANKLIN D ROOSEVELT SENIOR HS","123.4","1182","341","228","263","98.9","68.7","1137","37111802",95,6,"94","1","Local Support and Improvement"
"800000053366","131201040002","PAWLING HIGH SCHOOL","144.5","354","102","84","90","100","91.9","346","13054293",38,7,"36","1","Local Support and Improvement"
